WORD,SYNONYMS
PERIMETER,"TIP, MARGIN, BOUNDARY, EDGE, BORDER, CORNER, RAILING, LINE, BARRIER, WALL, FENCE"
BARRIER,"TIP, MARGIN, BOUNDARY, EDGE, BORDER, CORNER, RAILING, LINE, PERIMETER, WALL, FENCE"
WALL,"TIP, MARGIN, BOUNDARY, EDGE, BORDER, CORNER, RAILING, LINE, PERIMETER, BARRIER, FENCE"
FENCE,"TIP, MARGIN, BOUNDARY, EDGE, BORDER, CORNER, RAILING, LINE, PERIMETER, BARRIER, WALL"
COUPE,"HUT, MOTEL, SALOON, TAVERN, SHACK, BISTRO, BUNGALOW, SEDAN AUTOMOBILE, BAR, CAFE, CAFETERIA, SALON, PARLOR, COFFEE SHOP, RESTAURANT CAR, CHALET, COTTAGE, ROADSTER, HOTEL, PUB, RESORT, DINER, DINING ROOM, LODGE, INN, PARLOUR, CANTEEN, RESTAURANT, CONVERTIBLE, SEDAN, LOUNGE"
HUT,"COUPE, MOTEL, SALOON, TAVERN, SHACK, BISTRO, BUNGALOW, SEDAN AUTOMOBILE, BAR, CAFE, CAFETERIA, SALON, PARLOR, COFFEE SHOP, RESTAURANT CAR, CHALET, COTTAGE, ROADSTER, HOTEL, PUB, RESORT, DINER, DINING ROOM, LODGE, INN, PARLOUR, CANTEEN, RESTAURANT, CONVERTIBLE, SEDAN, LOUNGE"
MOTEL,"COUPE, HUT, SALOON, TAVERN, SHACK, BISTRO, BUNGALOW, SEDAN AUTOMOBILE, BAR, CAFE, CAFETERIA, SALON, PARLOR, COFFEE SHOP, RESTAURANT CAR, CHALET, COTTAGE, ROADSTER, HOTEL, PUB, RESORT, DINER, DINING ROOM, LODGE, INN, PARLOUR, CANTEEN, RESTAURANT, CONVERTIBLE, SEDAN, LOUNGE"
SALOON,"COUPE, HUT, MOTEL, TAVERN, SHACK, BISTRO, BUNGALOW, SEDAN AUTOMOBILE, BAR, CAFE, CAFETERIA, SALON, PARLOR, COFFEE SHOP, RESTAURANT CAR, CHALET, COTTAGE, ROADSTER, HOTEL, PUB, RESORT, DINER, DINING ROOM, LODGE, INN, PARLOUR, CANTEEN, RESTAURANT, CONVERTIBLE, SEDAN, LOUNGE"
TAVERN,"COUPE, HUT, MOTEL, SALOON, SHACK, BISTRO, BUNGALOW, SEDAN AUTOMOBILE, BAR, CAFE, CAFETERIA, SALON, PARLOR, COFFEE SHOP, RESTAURANT CAR, CHALET, COTTAGE, ROADSTER, HOTEL, PUB, RESORT, DINER, DINING ROOM, LODGE, INN, PARLOUR, CANTEEN, RESTAURANT, CONVERTIBLE, SEDAN, LOUNGE"
SHACK,"COUPE, HUT, MOTEL, SALOON, TAVERN, BISTRO, BUNGALOW, SEDAN AUTOMOBILE, BAR, CAFE, CAFETERIA, SALON, PARLOR, COFFEE SHOP, RESTAURANT CAR, CHALET, COTTAGE, ROADSTER, HOTEL, PUB, RESORT, DINER, DINING ROOM, LODGE, INN, PARLOUR, CANTEEN, RESTAURANT, CONVERTIBLE, SEDAN, LOUNGE"
